YearsExperience,Education,JobRole,Location,SkillsScore(1-5),CompanySize,Salary(LPA)
8,Bachelors,Data Analyst,Bangalore,2,Enterprise,30.4
0,Bachelors,BI Analyst,Bangalore,1,Enterprise,10.94
11,Bachelors,Data Scientist,Bangalore,3,Enterprise,47.79
7,Masters,Data Analyst,Hyderabad,3,Enterprise,42.04
10,Masters,Data Analyst,Mumbai,5,Enterprise,54.08
18,Bachelors,Data Scientist,Pune,5,Mid,72.22
16,Masters,BI Analyst,Hyderabad,2,Startup,55.06
7,Masters,BI Analyst,Pune,2,Enterprise,29.47
2,Masters,BI Analyst,Mumbai,2,Startup,13.54
2,Masters,Data Analyst,Delhi,5,Enterprise,35.69
0,Masters,Data Analyst,Bangalore,5,Mid,23.11
4,Bachelors,BI Analyst,Pune,1,Mid,20.46
9,Bachelors,ML Engineer,Hyderabad,4,Enterprise,50.85
6,PhD,BI Analyst,Pune,4,Enterprise,38.85
8,Bachelors,Data Scientist,Delhi,1,Enterprise,28.39
6,PhD,Data Analyst,Bangalore,4,Mid,41.37
8,Masters,Data Scientist,Pune,5,Mid,47.93
7,Bachelors,Data Scientist,Delhi,4,Startup,42.42
11,Bachelors,Data Analyst,Hyderabad,5,Mid,53.79
1,Bachelors,ML Engineer,Mumbai,1,Enterprise,11.57
0,PhD,BI Analyst,Hyderabad,2,Startup,15.53
15,Bachelors,Data Scientist,Bangalore,1,Mid,46.39
4,Bachelors,Data Analyst,Hyderabad,4,Mid,34.02
2,Bachelors,Data Scientist,Hyderabad,5,Enterprise,35.26
11,Bachelors,BI Analyst,Hyderabad,4,Startup,40.41
7,Bachelors,ML Engineer,Hyderabad,4,Mid,42.92
2,Bachelors,ML Engineer,Bangalore,2,Mid,24.22
0,Masters,ML Engineer,Delhi,4,Enterprise,27.6
2,Bachelors,Data Analyst,Pune,2,Startup,14.17
4,Bachelors,Data Analyst,Mumbai,5,Startup,32.86
14,Bachelors,ML Engineer,Pune,5,Startup,64.18
13,Bachelors,BI Analyst,Pune,2,Startup,40.26
2,PhD,BI Analyst,Mumbai,1,Enterprise,20.28
0,Masters,Data Analyst,Bangalore,5,Mid,25.92
4,Bachelors,ML Engineer,Mumbai,1,Mid,19.99
13,Masters,BI Analyst,Bangalore,5,Startup,58.5
6,Bachelors,BI Analyst,Pune,5,Startup,44.34
8,Bachelors,BI Analyst,Bangalore,3,Startup,37.28
14,PhD,Data Analyst,Delhi,4,Mid,62.37
14,Masters,ML Engineer,Mumbai,4,Mid,64.46
9,PhD,Data Scientist,Delhi,1,Startup,35.26
12,Bachelors,ML Engineer,Pune,4,Enterprise,53.88
18,Masters,ML Engineer,Mumbai,1,Mid,57.27
6,Bachelors,Data Analyst,Pune,5,Mid,43.17
16,Bachelors,BI Analyst,Delhi,3,Startup,55.79
19,Masters,BI Analyst,Pune,3,Enterprise,60.1
3,Bachelors,Data Analyst,Mumbai,5,Startup,37.06
4,Masters,Data Analyst,Mumbai,2,Startup,23.6
6,Masters,Data Analyst,Pune,2,Enterprise,31.36
12,Bachelors,Data Analyst,Mumbai,4,Enterprise,52.96
14,Masters,Data Analyst,Mumbai,1,Enterprise,36.41
10,Masters,Data Scientist,Pune,3,Mid,47.86
3,Bachelors,ML Engineer,Delhi,4,Startup,33.44
12,Masters,ML Engineer,Mumbai,5,Mid,56.03
6,Masters,ML Engineer,Mumbai,3,Enterprise,36.5
18,Bachelors,BI Analyst,Mumbai,1,Mid,49.34
1,Masters,Data Scientist,Mumbai,1,Enterprise,18.44
9,PhD,ML Engineer,Pune,2,Enterprise,45.07
12,Bachelors,BI Analyst,Delhi,4,Startup,50.24
20,Masters,Data Scientist,Delhi,5,Startup,78.43
5,Bachelors,Data Scientist,Bangalore,3,Startup,34.76
11,Masters,BI Analyst,Mumbai,1,Mid,38.46
11,Masters,Data Scientist,Mumbai,3,Startup,49.39
19,Bachelors,BI Analyst,Bangalore,5,Enterprise,67.67
10,Bachelors,ML Engineer,Delhi,3,Startup,46.86
6,Masters,BI Analyst,Hyderabad,4,Mid,46.75
0,Bachelors,Data Scientist,Hyderabad,2,Startup,17.39
0,Masters,ML Engineer,Delhi,3,Startup,23.28
19,Bachelors,ML Engineer,Mumbai,2,Startup,69.16
12,PhD,Data Analyst,Hyderabad,5,Mid,57.95
8,Masters,Data Analyst,Pune,2,Enterprise,36.34
2,PhD,Data Scientist,Pune,3,Enterprise,30.16
6,Bachelors,BI Analyst,Bangalore,3,Enterprise,31.45
5,Masters,BI Analyst,Delhi,1,Startup,23.16
7,Masters,Data Scientist,Delhi,3,Startup,38.56
8,Bachelors,ML Engineer,Hyderabad,2,Mid,36.03
4,Bachelors,Data Scientist,Mumbai,1,Enterprise,16.15
0,Bachelors,Data Scientist,Delhi,3,Startup,16.12
18,Masters,ML Engineer,Hyderabad,3,Startup,69.7
9,Masters,BI Analyst,Hyderabad,5,Startup,48.05
11,Bachelors,Data Scientist,Delhi,1,Mid,34.17
14,Masters,BI Analyst,Hyderabad,5,Enterprise,70.58
8,Bachelors,Data Scientist,Bangalore,5,Mid,55.17
19,Bachelors,ML Engineer,Bangalore,5,Enterprise,78.84
16,PhD,ML Engineer,Delhi,4,Enterprise,73.56
16,PhD,Data Analyst,Mumbai,5,Startup,67.46
19,Masters,ML Engineer,Bangalore,2,Startup,63.04
11,Bachelors,Data Analyst,Bangalore,3,Startup,41.88
6,Masters,Data Scientist,Delhi,4,Startup,41.4
1,Bachelors,BI Analyst,Pune,5,Startup,30.04
2,Bachelors,ML Engineer,Hyderabad,3,Enterprise,21.81
16,Bachelors,ML Engineer,Bangalore,1,Startup,58.34
4,Masters,ML Engineer,Pune,1,Startup,26.84
16,Masters,Data Scientist,Mumbai,3,Mid,56.25
16,Bachelors,Data Analyst,Pune,2,Mid,50.87
16,Masters,Data Scientist,Delhi,3,Enterprise,58.19
1,PhD,BI Analyst,Mumbai,3,Enterprise,21.98
1,Bachelors,Data Scientist,Mumbai,4,Mid,23.21
4,Masters,BI Analyst,Pune,1,Mid,19.33
0,PhD,ML Engineer,Delhi,1,Startup,25.81
0,Bachelors,BI Analyst,Bangalore,5,Startup,25.78
18,Bachelors,BI Analyst,Pune,3,Enterprise,61.78
1,Masters,Data Analyst,Bangalore,3,Mid,24.72
20,Masters,BI Analyst,Pune,2,Enterprise,62.57
11,Masters,BI Analyst,Bangalore,1,Startup,33.42
5,Bachelors,Data Scientist,Pune,2,Enterprise,22.2
3,PhD,ML Engineer,Mumbai,4,Enterprise,39.04
10,Bachelors,Data Scientist,Hyderabad,5,Enterprise,55.93
16,Bachelors,Data Scientist,Mumbai,2,Startup,56.21
5,Masters,ML Engineer,Bangalore,1,Enterprise,29.27
4,Bachelors,ML Engineer,Delhi,4,Startup,37.77
19,Bachelors,BI Analyst,Mumbai,3,Mid,61.69
1,Bachelors,BI Analyst,Hyderabad,4,Enterprise,21.96
5,Bachelors,Data Analyst,Bangalore,2,Enterprise,21.79
10,Bachelors,Data Scientist,Mumbai,1,Startup,30.09
15,PhD,ML Engineer,Pune,2,Enterprise,65.39
15,Bachelors,BI Analyst,Delhi,3,Startup,53.01
0,Masters,ML Engineer,Bangalore,3,Enterprise,24.17
8,Masters,BI Analyst,Mumbai,1,Mid,35.16
5,PhD,Data Analyst,Bangalore,5,Mid,49.54
15,Bachelors,Data Analyst,Pune,4,Mid,65.24
2,PhD,ML Engineer,Hyderabad,4,Enterprise,37.06
19,Masters,Data Analyst,Mumbai,3,Enterprise,65.42
3,Masters,ML Engineer,Bangalore,2,Mid,30.15
18,Masters,BI Analyst,Bangalore,2,Mid,63.19
2,Masters,Data Scientist,Bangalore,5,Startup,36.49
18,Bachelors,Data Analyst,Hyderabad,2,Startup,52.25
19,Masters,BI Analyst,Bangalore,4,Mid,67.34
6,Masters,Data Scientist,Delhi,2,Mid,35.93
19,Masters,Data Scientist,Delhi,5,Enterprise,78.96
8,PhD,Data Scientist,Bangalore,4,Mid,48.68
0,Bachelors,BI Analyst,Delhi,2,Startup,11.28
7,PhD,BI Analyst,Mumbai,4,Startup,43.28
6,Bachelors,ML Engineer,Delhi,3,Startup,40.62
17,Bachelors,Data Scientist,Bangalore,3,Startup,57.93
7,Bachelors,Data Scientist,Pune,3,Startup,32.66
0,Bachelors,Data Scientist,Mumbai,2,Startup,20.45
10,Masters,ML Engineer,Hyderabad,5,Mid,58.58
17,Bachelors,Data Scientist,Bangalore,4,Startup,64.56
9,Bachelors,BI Analyst,Hyderabad,1,Startup,31.11
2,PhD,Data Scientist,Pune,3,Startup,27.33
6,Masters,Data Analyst,Hyderabad,3,Startup,36.15
15,Masters,BI Analyst,Bangalore,1,Mid,45.35
15,PhD,ML Engineer,Bangalore,1,Enterprise,58.88
19,Masters,Data Scientist,Pune,2,Enterprise,59
16,Bachelors,Data Analyst,Bangalore,4,Enterprise,60.75
1,Bachelors,ML Engineer,Pune,3,Enterprise,24.21
0,Masters,ML Engineer,Pune,5,Startup,32.39
15,Bachelors,BI Analyst,Bangalore,2,Enterprise,50.31
11,Masters,ML Engineer,Delhi,2,Enterprise,46.96
4,Bachelors,ML Engineer,Pune,5,Mid,42.5
4,Bachelors,ML Engineer,Bangalore,5,Mid,44.9
8,Masters,ML Engineer,Delhi,5,Mid,56.07
8,Masters,Data Scientist,Pune,1,Startup,29.46
2,Masters,Data Scientist,Delhi,3,Startup,25.67
18,Masters,Data Scientist,Mumbai,1,Startup,58.08
15,Bachelors,Data Scientist,Mumbai,3,Mid,57.88
15,Bachelors,Data Analyst,Delhi,1,Enterprise,42.33
2,PhD,Data Scientist,Pune,4,Mid,35.39
19,Masters,ML Engineer,Bangalore,3,Startup,71.67
0,Bachelors,Data Scientist,Hyderabad,2,Mid,15.99
19,Masters,Data Scientist,Bangalore,3,Enterprise,64.56
10,Bachelors,BI Analyst,Hyderabad,3,Startup,36.25
16,Bachelors,ML Engineer,Hyderabad,3,Enterprise,54.12
7,Bachelors,Data Scientist,Pune,4,Enterprise,41.12
3,Masters,Data Scientist,Delhi,1,Startup,16.61
5,Masters,Data Scientist,Bangalore,2,Enterprise,36.41
7,Bachelors,Data Analyst,Delhi,1,Mid,26.26
19,PhD,Data Scientist,Mumbai,1,Enterprise,58.55
2,Bachelors,BI Analyst,Pune,5,Enterprise,33.71
15,Bachelors,ML Engineer,Pune,4,Enterprise,66.41
2,Bachelors,ML Engineer,Mumbai,5,Mid,39.96
17,Bachelors,Data Scientist,Bangalore,4,Enterprise,62.38
13,Bachelors,Data Scientist,Mumbai,1,Enterprise,43.85
17,Masters,Data Scientist,Bangalore,1,Mid,58.01
1,Masters,ML Engineer,Hyderabad,4,Startup,37.11
2,Masters,ML Engineer,Pune,1,Startup,16.73
15,Bachelors,Data Analyst,Bangalore,1,Startup,42.85
8,Bachelors,BI Analyst,Delhi,2,Enterprise,28.67
3,Bachelors,Data Analyst,Delhi,5,Startup,38.29
0,Bachelors,BI Analyst,Pune,5,Mid,26.97
3,Masters,Data Analyst,Mumbai,5,Enterprise,38.37
0,Bachelors,ML Engineer,Mumbai,3,Enterprise,23.93
13,Masters,Data Analyst,Bangalore,2,Enterprise,47.33
20,PhD,BI Analyst,Mumbai,5,Startup,76.91
15,Bachelors,Data Scientist,Pune,5,Startup,63.16
19,Masters,BI Analyst,Bangalore,2,Startup,60.81
7,Masters,Data Scientist,Hyderabad,1,Enterprise,28.35
6,Masters,ML Engineer,Mumbai,5,Mid,46.4
2,Masters,BI Analyst,Mumbai,1,Enterprise,14.68
16,Bachelors,Data Analyst,Bangalore,5,Mid,62.08
0,Bachelors,BI Analyst,Delhi,4,Enterprise,21.15
15,Bachelors,Data Scientist,Mumbai,3,Mid,54.17
11,Bachelors,ML Engineer,Pune,5,Enterprise,55.85
18,Masters,Data Analyst,Mumbai,4,Enterprise,64.42
13,Bachelors,BI Analyst,Hyderabad,2,Mid,43.22
5,PhD,Data Scientist,Mumbai,4,Mid,44.66
5,Masters,Data Analyst,Delhi,2,Mid,28.95
12,Bachelors,ML Engineer,Mumbai,5,Mid,55.72
18,Bachelors,Data Analyst,Bangalore,2,Mid,57.78
7,PhD,ML Engineer,Mumbai,4,Mid,51.73
1,Masters,Data Analyst,Delhi,3,Mid,24.56
20,Masters,BI Analyst,Bangalore,1,Mid,61.75
0,Bachelors,Data Scientist,Pune,1,Enterprise,8.32
14,Bachelors,BI Analyst,Bangalore,3,Mid,49.2
0,Bachelors,BI Analyst,Hyderabad,1,Mid,12.87
4,Bachelors,ML Engineer,Bangalore,5,Enterprise,46.29
15,Masters,ML Engineer,Pune,5,Enterprise,70.27
18,Masters,ML Engineer,Mumbai,4,Startup,75.01
3,Masters,BI Analyst,Bangalore,4,Startup,33.27
2,PhD,Data Analyst,Bangalore,2,Mid,28.07
16,Masters,Data Analyst,Bangalore,4,Mid,63.44
16,Bachelors,BI Analyst,Bangalore,5,Startup,60.26
11,Bachelors,BI Analyst,Pune,4,Startup,45.97
13,PhD,Data Scientist,Delhi,1,Mid,57.1
20,Bachelors,ML Engineer,Delhi,2,Startup,62.22
5,PhD,ML Engineer,Bangalore,2,Mid,36.15
2,Masters,BI Analyst,Pune,5,Enterprise,40.24
8,Bachelors,BI Analyst,Pune,4,Enterprise,37.8
4,Masters,Data Analyst,Bangalore,1,Startup,11.92
16,PhD,BI Analyst,Hyderabad,4,Enterprise,57.77
13,Masters,Data Analyst,Bangalore,3,Enterprise,48.32
20,PhD,BI Analyst,Hyderabad,4,Enterprise,69.71
2,PhD,Data Scientist,Bangalore,5,Enterprise,42.41
0,Bachelors,Data Scientist,Hyderabad,4,Mid,24.8
19,Bachelors,Data Analyst,Hyderabad,2,Mid,51.2
20,PhD,ML Engineer,Bangalore,1,Startup,62.71
0,Masters,Data Scientist,Hyderabad,5,Enterprise,35.22
2,Bachelors,Data Analyst,Mumbai,3,Enterprise,21.88
17,Bachelors,BI Analyst,Delhi,1,Enterprise,52.6
9,Masters,BI Analyst,Pune,1,Startup,35.46
2,PhD,Data Analyst,Hyderabad,2,Mid,19.35
7,Masters,ML Engineer,Hyderabad,2,Enterprise,40.45
13,Masters,Data Analyst,Pune,2,Mid,47.89
17,Bachelors,Data Analyst,Hyderabad,5,Startup,60.41
14,Bachelors,Data Scientist,Pune,4,Mid,53.51
1,PhD,Data Analyst,Bangalore,1,Enterprise,23.21
9,Bachelors,Data Analyst,Mumbai,4,Mid,39.82
1,Bachelors,BI Analyst,Mumbai,4,Mid,24.63
16,Bachelors,Data Scientist,Delhi,2,Startup,52.83
7,Masters,BI Analyst,Hyderabad,4,Startup,41.35
0,PhD,BI Analyst,Delhi,1,Startup,13.13
8,Bachelors,ML Engineer,Bangalore,1,Startup,35.6
10,Bachelors,ML Engineer,Mumbai,3,Mid,49.32
15,Masters,Data Scientist,Bangalore,5,Mid,67.85
6,PhD,Data Scientist,Bangalore,4,Startup,41.69
9,Bachelors,ML Engineer,Hyderabad,5,Startup,51.39
2,Bachelors,ML Engineer,Bangalore,5,Enterprise,31.57
17,Bachelors,ML Engineer,Mumbai,5,Enterprise,71.3
12,PhD,ML Engineer,Delhi,5,Startup,61
6,Bachelors,ML Engineer,Mumbai,1,Mid,28.56
3,Bachelors,BI Analyst,Hyderabad,4,Startup,29.09
12,Masters,Data Scientist,Mumbai,3,Mid,54.32
19,Masters,BI Analyst,Pune,5,Mid,70.44
0,Bachelors,BI Analyst,Delhi,3,Enterprise,13.04
7,PhD,Data Analyst,Pune,1,Startup,34.87
13,Bachelors,BI Analyst,Pune,1,Startup,34.59
15,Masters,ML Engineer,Hyderabad,2,Mid,63.15
13,Bachelors,ML Engineer,Bangalore,5,Startup,59.93
11,Masters,Data Analyst,Pune,2,Enterprise,38.65
18,Bachelors,Data Analyst,Mumbai,3,Enterprise,62.23
14,PhD,Data Analyst,Bangalore,4,Startup,62.25
1,Masters,Data Analyst,Mumbai,2,Startup,22.32
1,Masters,Data Analyst,Mumbai,1,Enterprise,7.23
18,Masters,BI Analyst,Bangalore,5,Startup,73.3
16,Masters,Data Analyst,Bangalore,3,Mid,57.76
19,Bachelors,BI Analyst,Mumbai,1,Startup,49.87
9,Bachelors,Data Scientist,Hyderabad,4,Mid,51.24
5,PhD,Data Analyst,Delhi,5,Startup,44.21
14,Bachelors,Data Analyst,Delhi,4,Startup,54.41
10,Masters,BI Analyst,Hyderabad,4,Enterprise,49.36
4,PhD,Data Scientist,Bangalore,5,Mid,38.91
0,Bachelors,BI Analyst,Mumbai,5,Enterprise,21.75
7,Masters,BI Analyst,Delhi,4,Startup,39.8
20,Bachelors,Data Analyst,Mumbai,3,Enterprise,65.45
11,Masters,ML Engineer,Hyderabad,5,Startup,64.72
11,Bachelors,ML Engineer,Mumbai,1,Startup,37.25
4,Bachelors,BI Analyst,Hyderabad,2,Startup,18.26
6,Masters,Data Analyst,Bangalore,3,Mid,35.4
3,Masters,Data Scientist,Hyderabad,5,Mid,38.29
5,Masters,ML Engineer,Hyderabad,5,Mid,40.74
12,Masters,Data Scientist,Delhi,3,Enterprise,48.54
19,Bachelors,ML Engineer,Mumbai,2,Startup,63.05
14,Masters,Data Analyst,Delhi,4,Enterprise,57.14
2,Bachelors,BI Analyst,Pune,1,Enterprise,12.57
7,PhD,Data Scientist,Hyderabad,5,Startup,47.4
19,Masters,Data Scientist,Pune,2,Enterprise,63.21
15,Masters,BI Analyst,Delhi,1,Startup,49.34
12,PhD,Data Scientist,Mumbai,3,Startup,45.64
17,Bachelors,ML Engineer,Delhi,5,Startup,71.45
9,Masters,BI Analyst,Mumbai,4,Startup,40.61
18,Bachelors,ML Engineer,Mumbai,3,Enterprise,65.6
16,PhD,ML Engineer,Bangalore,5,Enterprise,71.39
18,Bachelors,Data Analyst,Hyderabad,2,Enterprise,55.6
4,Masters,ML Engineer,Delhi,1,Mid,30.98
20,PhD,Data Analyst,Mumbai,1,Enterprise,58.56
8,Bachelors,Data Scientist,Delhi,5,Enterprise,45.2
11,Bachelors,Data Scientist,Delhi,3,Mid,44.49
20,Masters,Data Analyst,Mumbai,4,Startup,72.96
0,Bachelors,ML Engineer,Pune,2,Startup,14.94
0,Bachelors,BI Analyst,Hyderabad,5,Startup,24.36
14,Bachelors,BI Analyst,Hyderabad,2,Mid,43.59
1,Bachelors,Data Analyst,Bangalore,1,Enterprise,8.5
15,PhD,Data Scientist,Bangalore,4,Enterprise,66.99
7,Masters,Data Scientist,Bangalore,2,Enterprise,36.45
12,Bachelors,BI Analyst,Hyderabad,5,Enterprise,49.87
20,Bachelors,Data Analyst,Pune,4,Mid,69.98
0,Bachelors,BI Analyst,Hyderabad,3,Enterprise,25.94
15,Bachelors,ML Engineer,Hyderabad,5,Startup,72.13
6,Bachelors,ML Engineer,Hyderabad,2,Mid,30.47
4,Bachelors,Data Analyst,Hyderabad,4,Mid,31
2,Bachelors,Data Analyst,Pune,5,Startup,30.2
11,Masters,ML Engineer,Bangalore,4,Startup,57.78
15,Bachelors,Data Scientist,Delhi,4,Enterprise,58.73
18,Masters,Data Analyst,Bangalore,4,Startup,66.39
4,Masters,ML Engineer,Bangalore,2,Mid,28.41
13,Masters,ML Engineer,Delhi,5,Mid,68.99
4,Masters,Data Scientist,Hyderabad,1,Mid,24.03
14,Masters,Data Scientist,Pune,1,Enterprise,48.06
16,PhD,Data Scientist,Pune,2,Enterprise,63.06
13,Masters,Data Scientist,Bangalore,2,Startup,52.9
19,Masters,BI Analyst,Delhi,4,Enterprise,72.73
4,Masters,Data Scientist,Mumbai,5,Enterprise,44.71
11,Masters,BI Analyst,Hyderabad,5,Mid,59.59
15,Bachelors,Data Analyst,Bangalore,3,Mid,49.6
15,Bachelors,ML Engineer,Pune,3,Startup,57.6
20,Bachelors,BI Analyst,Delhi,1,Mid,57.63
6,PhD,Data Analyst,Delhi,3,Enterprise,34.24
3,Masters,Data Analyst,Bangalore,3,Startup,25.61
0,PhD,BI Analyst,Mumbai,1,Startup,14.08
4,Masters,Data Analyst,Pune,1,Mid,19.41
9,Bachelors,Data Analyst,Bangalore,3,Mid,38.3
4,Bachelors,BI Analyst,Mumbai,5,Mid,31.66
3,Masters,Data Analyst,Delhi,3,Startup,26.59
1,Masters,Data Scientist,Hyderabad,4,Mid,29.8
19,PhD,Data Scientist,Pune,4,Enterprise,80.45
9,Bachelors,ML Engineer,Pune,4,Startup,47.79
18,Masters,Data Analyst,Mumbai,2,Mid,56.25
0,Masters,ML Engineer,Bangalore,4,Enterprise,32.14
4,Masters,Data Scientist,Delhi,5,Enterprise,31.58
12,Masters,Data Scientist,Mumbai,2,Mid,45.85
3,Masters,Data Scientist,Hyderabad,2,Enterprise,23.66
15,Bachelors,Data Analyst,Hyderabad,4,Startup,57.78
15,Masters,Data Analyst,Hyderabad,3,Startup,59.24
1,Masters,Data Scientist,Mumbai,1,Enterprise,20.55
16,PhD,ML Engineer,Delhi,3,Startup,67.64
19,Masters,ML Engineer,Pune,3,Mid,66.44
11,Bachelors,BI Analyst,Bangalore,2,Enterprise,36.86
17,Bachelors,Data Scientist,Pune,2,Startup,54.59
2,PhD,ML Engineer,Delhi,2,Mid,29.9
0,Masters,Data Scientist,Pune,5,Mid,31.67
0,PhD,ML Engineer,Mumbai,5,Startup,35.44
18,Bachelors,BI Analyst,Hyderabad,1,Enterprise,46.95
10,Masters,BI Analyst,Delhi,2,Mid,36.39
4,Masters,Data Scientist,Delhi,4,Mid,33.88
11,PhD,ML Engineer,Pune,2,Mid,55.26
2,Bachelors,Data Analyst,Mumbai,5,Mid,27.99
0,Masters,BI Analyst,Pune,2,Enterprise,15.18
0,Masters,Data Scientist,Pune,5,Startup,34.41
7,Bachelors,Data Scientist,Delhi,2,Startup,32.38
9,Masters,ML Engineer,Pune,4,Startup,48.34
10,Masters,Data Scientist,Hyderabad,1,Mid,40.46
11,PhD,BI Analyst,Pune,4,Enterprise,54.46
12,Bachelors,Data Scientist,Hyderabad,5,Startup,50.74
11,Bachelors,Data Scientist,Delhi,3,Enterprise,49.64
13,Bachelors,Data Analyst,Mumbai,4,Startup,54.82
1,Bachelors,Data Analyst,Hyderabad,2,Mid,15.42
18,Bachelors,BI Analyst,Mumbai,1,Startup,55.6
17,Masters,ML Engineer,Mumbai,2,Mid,64.35
2,Bachelors,Data Analyst,Hyderabad,2,Mid,20.18
16,PhD,ML Engineer,Delhi,4,Startup,74.51
7,PhD,BI Analyst,Bangalore,1,Enterprise,32.57
9,Masters,Data Analyst,Mumbai,3,Mid,35.73
1,PhD,ML Engineer,Mumbai,2,Enterprise,21.39
18,Masters,Data Analyst,Delhi,1,Startup,56.25
8,Masters,BI Analyst,Delhi,3,Mid,42.39
